"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","PrimaryIso","SMILES","Adducts","LOGP","formula","mserror"
233.165323893229,4.54681666666667,24373.412109375,16436.8828125,12672.927734375,91648.8671875,130465.9765625,82231.84375,12407.87890625,15380.607421875,19966.34375,100,100,17262.203125,100,100,100,100,100,100,5,"4043",233.165323893229,"CCN(CC)CC(=O)NC1=C(C=CC=C1C)C","[M-H]-","0","C14H22N2O","-2.59218120746736"
251.20182800293,5.2053,100,100,16887.8203125,321193.875,212414.1875,156355.875,1077141,633446,1025003.6875,100,28107.294921875,100,100,100,100,100,100,100,7,"109",251.20182800293,"CC=CCC=CCCCCCCCCOC(=O)C","[M-H]-","0","C16H28O2","0.728111459769726"
279.233378092448,5.71745,4697981,3604454.25,2284871.75,25787700,19539708,16791966,61140884,58380408,119725168,2899359.5,2587697.25,3184609,2261499,2142879,6578251,2004318.875,1831098.375,1955028.625,9,"4058",279.233378092448,"CCCCCC=CCC=CCCCCCCCC(=O)O","[M-H]-","0","C18H32O2","1.54993092475093"
327.233418782552,5.79545,100,100,25711.67578125,147383.765625,177845.0625,107904.5625,230180.109375,279137.28125,554803,59826.42578125,65056.23828125,34592.76171875,43885.640625,100,100,38144.8515625,100,47027.05078125,9,"1487;5051;5191",327.233418782552,"CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O;CCCOC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4OC)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C","[M-H]-;[M-H]-;[M-H]-","0","C22H32O2;C22H32O2;C22H32O2","1.44692603163357;1.44692603163357;1.44692603163357"
354.219655354818,6.09248333333333,47387.25390625,111811.3203125,28458.076171875,392997,321626,246279.3125,678715.625,887782.125,1700939.25,50591.30078125,87190.6015625,48881.14453125,61585.390625,100,45013.765625,77022.1796875,54343.19921875,75587.59375,9,"6770",353.216278076172,"CCN(C(C)C)C(=O)C1=CC(=CC(=C1)C)OCC(C)NC2=CC=NC=C2","[M-H]-","0","C21H29N3O2","2.71965376038795"
277.21772257487,5.45005,250487.90625,224067.625,130308.609375,2790486.75,1879600.625,1738417.5,7049748,5586751.5,11062005,699877.4375,461482.65625,508070.875,508361.125,398543.5,1032949.5625,451925.15625,334854.90625,269991.78125,9,"3640;4059",277.21772257487,"CCCCCC=CCC=CCC=CCCCCC(=O)O;CCC=CCC=CCC=CCCCCCCCC(=O)O","[M-H]-;[M-H]-","0","C18H30O2;C18H30O2","1.54165781988899;1.54165781988899"
297.24375406901,5.13975,598507.75,743407.375,955117.5625,1190315.625,1152268.375,805496.125,5522082.5,3576572.25,5034738.5,663350.875,594217.5,707645.9375,687492.3125,622061.9375,626033.0625,568719.875,584764.4375,720421.375,7,"92",297.24375406901,"CCCCCCC(CC=CCCCCCCCC(=O)O)O","[M-H]-","0","C18H34O3","0.82144370428795"
299.259684244792,5.29201666666667,279148.40625,312636.125,299165.21875,840478.8125,555610.1875,540796.75,41591904,23176722,42172968,982559.0625,69646.4375,614296.3125,639114.625,584295.875,553704,933706.125,1250964.5,1685681.375,9,"403",299.259684244792,"CCCCCCC(CCCCCCCCCCC(=O)O)O","[M-H]-","0","C18H36O3","1.75180560332581"
309.280771891276,6.43045,1233244.5,1219229.375,520688.90625,1739718.875,1412868,1332451.5,7272522,7518474.5,11887276,1923059.125,956277.6875,912666.1875,778025,834368,910330.9375,1052676.375,1265300.625,1214063.625,9,"3380",309.280771891276,"CCCCCCCCC=CCCCCCCCC(=O)OCC","[M-H]-","0","C20H38O2","2.83364294108765"
375.290954589844,4.69773333333333,100,100,100,100,100,100,743558.4375,789725.5625,687264.8125,100,100,100,100,100,100,100,100,100,8,"4066",375.290954589844,"CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C","[M-H]-","0","C24H40O3","1.31761727192284"
