"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","TRb Sludge fc1","TRb Sludge pvalue1","TRb Sludge fc2","TRb Sludge pvalue2","avg","change"
152.006484985352,4.22465,100,100,45530.2890625,100,100,100,53389.0546875,84284.6484375,103807,88711.484375,17794.50390625,116566.0703125,100,100,100,100,100,100,12,3,804.935677083333,0.0317522416191952,5.28054180446938,0.036479213258636,80493.5677083333,"up"
175.015813191732,0.455788333333333,281837.875,247978.703125,146966.546875,747125.9375,962483.75,324439.09375,1354975.375,1536610.125,1973223,122990.828125,72693.1875,43676.04296875,76105.046875,40647.02734375,54526.3671875,62717.73046875,66453.625,168304.21875,9,286,16.3536401695376,0.0119737346291943,7.18813504695466,0.0135559219959595,1621602.83333333,"up"
176.788553873698,5.28815,100,100,100,100,100,100,220643.640625,131366.515625,220218.9375,100,100,100,100,100,100,100,100,100,7,303,1907.4303125,0.0234033154565716,1907.4303125,0.0234033154565716,190743.03125,"up"
184.013910929362,5.6381,100,100,40379.65625,46985.0703125,55231.4296875,63913.67578125,93187.6640625,79180.4296875,134825.75,33638.453125,100,44445.796875,100,100,100,100,100,100,9,407,1023.97947916667,0.0256609945920031,7.57014406079401,0.0157087145416666,102397.947916667,"up"
185.036773681641,0.455788333333333,24547.306640625,13175.1640625,7729.36181640625,65392.55078125,63683.140625,27773.931640625,74559.5703125,78567.03125,118306.8203125,3674.41845703125,100,3890.67724609375,8048.630859375,2771.46606445312,16874.15234375,7095.3916015625,4680.5078125,10392.8232421875,9,423,12.2439811298047,0.0257284096337439,5.97189171104073,0.022643185049152,90477.8072916667,"up"
191.011138916016,0.455788333333333,100,100,100,69312.625,70299.28125,25861.140625,80860.25,108893.984375,132157.34375,36409.80859375,100,100,100,100,100,100,100,52432.5390625,9,513,6.11620841135437,0.0181067906180496,1073.03859375,0.0186029388444769,107303.859375,"up"
203.047500610352,0.455788333333333,388114.84375,223833.3125,152648.625,875942.1875,1030151.3125,393848.28125,1118743,1267158.375,1810791.5,126939.6484375,59797.64453125,60468.96484375,106312.421875,45784.546875,56942.66796875,101170.03125,80448.9765625,197643.234375,9,708,11.06541176046,0.0235548981880028,5.48876607633509,0.0231400190764194,1398897.625,"up"
221.058252970378,0.455788333333333,231903.328125,180481.734375,115831.40625,567805.125,763522.625,245088.34375,751255.1875,813596.6875,1080622.125,100467.0234375,47372.21484375,45211.64453125,66288.9140625,30608.70703125,59708.8671875,72760.8125,74190.625,166839.5,9,1061,8.43068962117493,0.0109624931962278,5.00831412216358,0.0129538226150594,881824.666666667,"up"
243.027252197266,0.505203333333333,100,100,100,43768.16015625,50689.046875,20256.576171875,77408.15625,106529.3671875,105837.03125,4934.533203125,16656.529296875,12526.1474609375,8021.97216796875,4971.6767578125,38623.35546875,5654.43212890625,4543.10205078125,11167.1220703125,8,1531,13.5632678240494,0.00890964344336974,965.915182291667,0.00974131260425599,96591.5182291667,"up"
247.037785847982,0.455788333333333,540771.875,380224.40625,253929.609375,1277291.875,1570578.25,543818.75,1674745,2149639,2631029,195983.453125,96394.578125,89456.171875,147333.296875,64027.6015625,101338.0625,135521.96875,132873.515625,306519.96875,9,1609,11.2284562276263,0.0160517488818585,5.49431504702484,0.017085778537455,2151804.33333333,"up"
251.20182800293,5.2053,100,100,16887.8203125,321193.875,212414.1875,156355.875,1077141,633446,1025003.6875,100,28107.294921875,100,100,100,100,100,100,100,7,1719,9118.635625,0.0227811079389976,160.090089752341,0.022905570425306,911863.5625,"up"
252.205149332682,5.2053,100,100,12523.208984375,41599.9609375,31555.240234375,100,211845.109375,105555.2734375,172443.203125,100,100,100,100,100,100,100,100,100,7,1728,1632.811953125,0.0342954589166075,38.5000031469311,0.0340440165976044,163281.1953125,"up"
274.09380086263,0.538493333333333,70405.5625,58307.4921875,90968.5,74322.8125,125005.875,47175.7265625,813285,637449.6875,754518.6875,183714.859375,60744.8984375,56674.6171875,95995.859375,33735.22265625,103605.8046875,93041.03125,100745.7265625,232848.421875,7,2301,5.16894405336029,0.00107171058480262,10.0384093609361,0.0048443003319665,735084.458333333,"up"
